N;Класс_id;Класс;Спек_id;Специализация;Роль;Ресурс;Ресурс2;HP_героя;ATK_героя;DEF_героя;Speed_героя;Слот;skill_id;Название_RU;Название_EN;Иконка;type;type_RU;power;cost;gen;cost_sec;gen_sec;руны;gen_runic;cd_ходы;spellId_WoW;Описание_сейчас;Что_даёт_сейчас;NEW_power;NEW_cost;NEW_gen;NEW_cost_sec;NEW_gen_sec;NEW_cd;NEW_type;NEW_описание;Флаг;Комментарий
80;hunter;Охотник;survival;Выживание;Боец (DPS);Концентрация;;102;16;4;12;7;kill_shot;Убийственный выстрел;Kill Shot;💀;damage;Урон (одна цель);46266;15;0;0;0;;0;2;53351;Добивание ≤35%.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.9 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −15 Концентрация | Перезарядка: 2 ход(а/ов);;;;;;;;;;Пока без изм
81;hunter;Охотник;survival;Выживание;Боец (DPS);Концентрация;;102;16;4;12;8;rapid;Быстрая стрельба;Rapid Fire;💨;buff;Бафф (усиление);0.25;0;0;0;0;;0;5;3045;#ИМЯ?;"Тип: Бафф (усиление) | Бафф: величина эффекта часто = power (0.25) — см. описание; длительность в бою по правилам type=buff | Перезарядка: 5 ход(а/ов)";;;;;;;;;;Пока без изм
82;hunter;Охотник;survival;Выживание;Боец (DPS);Концентрация;;102;16;4;12;9;explosive_trap;Взрывная ловушка;Explosive Trap;🔥;aoe;Урон по области (все враги);0.9;20;0;0;0;;0;3;13813;Ловушка: урон по области.;Тип: Урон по области (все враги) | Урон по каждому врагу ≈ ATK × 0.9 | Ресурс: −20 Концентрация | Перезарядка: 3 ход(а/ов);;;;;;;;;;Пока без изм
83;rogue;Разбойник;assassination;Ликвидация;Боец (DPS);Энергия;Серия приёмов;95;18;3;14;1;mutilate;Мясорубка;Mutilate;🔪;damage;Урон (одна цель);49310;55;0;0;2;;0;0;1329;Даёт 2 приёма серии.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.35 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −55 Энергия, +2 Серия приёмов | Перезарядка: нет (0);;;;;;;;;;Пока без изм
84;rogue;Разбойник;assassination;Ликвидация;Боец (DPS);Энергия;Серия приёмов;95;18;3;14;2;dispatch;Ликвидация;Dispatch;🗡️;damage;Урон (одна цель);46113;30;0;0;1;;0;0;111240;Приём серии по ослабленной цели.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.4 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −30 Энергия, +1 Серия приёмов | Перезарядка: нет (0);;;;;;;;;;Пока без изм
85;rogue;Разбойник;assassination;Ликвидация;Боец (DPS);Энергия;Серия приёмов;95;18;3;14;3;envenom;Отравление;Envenom;💚;damage;Урон (одна цель);46143;35;0;1;0;;0;0;32645;Завершающий приём (1–5 серии).;Тип: Урон (одна цель) | Урон ≈ ATK × 1.5 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −35 Энергия, −1 Серия приёмов | Перезарядка: нет (0);;;;;;;;;;Пока без изм
86;rogue;Разбойник;assassination;Ликвидация;Боец (DPS);Энергия;Серия приёмов;95;18;3;14;4;rupture;Рваная рана;Rupture;🩸;dot;Урон со временем (DoT);0.7;25;0;1;0;;0;0;1943;Завершающее кровотечение.;Тип: Урон со временем (DoT) | DoT: суммарный/тиковый урон завязан на power=0.7 (тик от ATK) | Ресурс: −25 Энергия, −1 Серия приёмов | Перезарядка: нет (0);;;;;;;;;;Пока без изм
87;rogue;Разбойник;assassination;Ликвидация;Боец (DPS);Энергия;Серия приёмов;95;18;3;14;5;vendetta;Вендетта;Vendetta;🎯;debuff;Дебафф;0.3;0;0;0;0;;0;5;79140;−защита / +урон по цели.;Тип: Дебафф | Сила (power)=0.3 — интерпретация по type в движке боя | Перезарядка: 5 ход(а/ов);;;;;;;;;;Пока без изм
88;rogue;Разбойник;assassination;Ликвидация;Боец (DPS);Энергия;Серия приёмов;95;18;3;14;6;fan;Веер клинков;Fan of Knives;🌀;aoe;Урон по области (все враги);0.65;35;0;0;1;;0;0;51723;По области + приём серии.;Тип: Урон по области (все враги) | Урон по каждому врагу ≈ ATK × 0.65 | Ресурс: −35 Энергия, +1 Серия приёмов | Перезарядка: нет (0);;;;;;;;;;Пока без изм
89;rogue;Разбойник;assassination;Ликвидация;Боец (DPS);Энергия;Серия приёмов;95;18;3;14;7;garrote;Гаррота;Garrote;🤐;dot;Урон со временем (DoT);0.6;45;0;0;1;;0;2;703;Кровотечение с немотой.;Тип: Урон со временем (DoT) | DoT: суммарный/тиковый урон завязан на power=0.6 (тик от ATK) | Ресурс: −45 Энергия, +1 Серия приёмов | Перезарядка: 2 ход(а/ов);;;;;;;;;;Пока без изм
90;rogue;Разбойник;assassination;Ликвидация;Боец (DPS);Энергия;Серия приёмов;95;18;3;14;8;slice;Мясорубка (серия);Slice and Dice;⏱️;buff;Бафф (усиление);0.22;25;0;1;0;;0;0;5171;Завершающий: +атака на 3 хода (сильнее с длинной серией).;"Тип: Бафф (усиление) | Бафф: величина эффекта часто = power (0.22) — см. описание; длительность в бою по правилам type=buff | Ресурс: −25 Энергия, −1 Серия приёмов | Перезарядка: нет (0)";;;;;;;;;;Пока без изм
91;rogue;Разбойник;assassination;Ликвидация;Боец (DPS);Энергия;Серия приёмов;95;18;3;14;9;kick;Пинок;Kick;🦵;interrupt;Прерывание;0;15;0;0;0;;0;2;1766;Прерывание.;"Тип: Прерывание | Сбивает каст; power=0 (если есть урон — по движку) | Ресурс: −15 Энергия | Перезарядка: 2 ход(а/ов)";;;;;;;;;;Пока без изм
92;rogue;Разбойник;combat;Бой;Боец (DPS);Энергия;Серия приёмов;100;17;3;15;1;ss;Коварный удар;Sinister Strike;🗡️;damage;Урон (одна цель);42005;40;0;0;1;;0;0;1752;Набор серии (−40 энергии).;Тип: Урон (одна цель) | Урон ≈ ATK × 1.15 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −40 Энергия, +1 Серия приёмов | Перезарядка: нет (0);;;;;;;;;;Пока без изм
93;rogue;Разбойник;combat;Бой;Боец (DPS);Энергия;Серия приёмов;100;17;3;15;2;revealing;Пробивающий удар;Revealing Strike;👁️;damage;Урон (одна цель);46054;35;0;0;1;;0;1;84617;Набор серии.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.2 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −35 Энергия, +1 Серия приёмов | Перезарядка: 1 ход(а/ов);;;;;;;;;;Пока без изм
94;rogue;Разбойник;combat;Бой;Боец (DPS);Энергия;Серия приёмов;100;17;3;15;3;eviscerate;Потрошение;Eviscerate;💥;damage;Урон (одна цель);20090;35;0;1;0;;0;0;2098;Завершающий приём (вся серия).;Тип: Урон (одна цель) | Урон ≈ ATK × 1.55 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −35 Энергия, −1 Серия приёмов | Перезарядка: нет (0);;;;;;;;;;Пока без изм
95;rogue;Разбойник;combat;Бой;Боец (DPS);Энергия;Серия приёмов;100;17;3;15;4;killing_spree;Череда убийств;Killing Spree;🏃;aoe;Урон по области (все враги);42005;0;0;0;0;;0;5;51690;Перезарядка: урон по области.;Тип: Урон по области (все враги) | Урон по каждому врагу ≈ ATK × 1.15 | Перезарядка: 5 ход(а/ов);;;;;;;;;;Пока без изм
96;rogue;Разбойник;combat;Бой;Боец (DPS);Энергия;Серия приёмов;100;17;3;15;5;adrenaline;Выброс адреналина;Adrenaline Rush;💉;buff;Бафф (усиление);0.3;0;0;0;0;;0;5;13750;+атака на 3 хода (упрощ.).;"Тип: Бафф (усиление) | Бафф: величина эффекта часто = power (0.3) — см. описание; длительность в бою по правилам type=buff | Перезарядка: 5 ход(а/ов)";;;;;;;;;;Пока без изм
97;rogue;Разбойник;combat;Бой;Боец (DPS);Энергия;Серия приёмов;100;17;3;15;6;blade_flurry;Шквал клинков;Blade Flurry;🌪️;buff;Бафф (усиление);0.2;25;0;0;0;;0;2;13877;+атака (упрощ. клив).;"Тип: Бафф (усиление) | Бафф: величина эффекта часто = power (0.2) — см. описание; длительность в бою по правилам type=buff | Ресурс: −25 Энергия | Перезарядка: 2 ход(а/ов)";;;;;;;;;;Пока без изм
98;rogue;Разбойник;combat;Бой;Боец (DPS);Энергия;Серия приёмов;100;17;3;15;7;fan;Веер клинков;Fan of Knives;🌀;aoe;Урон по области (все враги);0.7;35;0;0;1;;0;0;51723;По области + 1 к серии.;Тип: Урон по области (все враги) | Урон по каждому врагу ≈ ATK × 0.7 | Ресурс: −35 Энергия, +1 Серия приёмов | Перезарядка: нет (0);;;;;;;;;;Пока без изм
99;rogue;Разбойник;combat;Бой;Боец (DPS);Энергия;Серия приёмов;100;17;3;15;8;slice;Мясорубка (серия);Slice and Dice;⏱️;buff;Бафф (усиление);0.22;25;0;1;0;;0;0;5171;Завершающий: +атака.;"Тип: Бафф (усиление) | Бафф: величина эффекта часто = power (0.22) — см. описание; длительность в бою по правилам type=buff | Ресурс: −25 Энергия, −1 Серия приёмов | Перезарядка: нет (0)";;;;;;;;;;Пока без изм
100;rogue;Разбойник;combat;Бой;Боец (DPS);Энергия;Серия приёмов;100;17;3;15;9;rupture;Рваная рана;Rupture;🩸;dot;Урон со временем (DoT);0.7;25;0;1;0;;0;0;1943;Завершающее кровотечение.;Тип: Урон со временем (DoT) | DoT: суммарный/тиковый урон завязан на power=0.7 (тик от ATK) | Ресурс: −25 Энергия, −1 Серия приёмов | Перезарядка: нет (0);;;;;;;;;;Пока без изм
101;rogue;Разбойник;subtlety;Скрытность;Боец (DPS);Энергия;Серия приёмов;92;18;2;15;1;hemorrhage;Кровоизлияние;Hemorrhage;🩸;damage;Урон (одна цель);42005;30;0;0;1;;0;0;16511;Дешёвый набор серии.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.15 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −30 Энергия, +1 Серия приёмов | Перезарядка: нет (0);;;;;;;;;;Пока без изм
102;rogue;Разбойник;subtlety;Скрытность;Боец (DPS);Энергия;Серия приёмов;92;18;2;15;2;backstab;Удар в спину;Backstab;🔪;damage;Урон (одна цель);52963;55;0;0;1;;0;0;53;Дорогой набор серии.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.45 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −55 Энергия, +1 Серия приёмов | Перезарядка: нет (0);;;;;;;;;;Пока без изм
103;rogue;Разбойник;subtlety;Скрытность;Боец (DPS);Энергия;Серия приёмов;92;18;2;15;3;eviscerate;Потрошение;Eviscerate;💥;damage;Урон (одна цель);20090;35;0;1;0;;0;0;2098;Завершающий приём.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.55 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −35 Энергия, −1 Серия приёмов | Перезарядка: нет (0);;;;;;;;;;Пока без изм
104;rogue;Разбойник;subtlety;Скрытность;Боец (DPS);Энергия;Серия приёмов;92;18;2;15;4;ambush;Внезапный удар;Ambush;😮;damage;Урон (одна цель);23743;55;0;0;2;;0;0;8676;+2 к серии (сильный удар).;Тип: Урон (одна цель) | Урон ≈ ATK × 1.65 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −55 Энергия, +2 Серия приёмов | Перезарядка: нет (0);;;;;;;;;;Пока без изм
105;rogue;Разбойник;subtlety;Скрытность;Боец (DPS);Энергия;Серия приёмов;92;18;2;15;5;shadow_dance;Танец теней;Shadow Dance;💃;buff;Бафф (усиление);0.28;0;0;0;0;;0;4;51713;+атака (упрощ. режим).;"Тип: Бафф (усиление) | Бафф: величина эффекта часто = power (0.28) — см. описание; длительность в бою по правилам type=buff | Перезарядка: 4 ход(а/ов)";;;;;;;;;;Пока без изм
106;rogue;Разбойник;subtlety;Скрытность;Боец (DPS);Энергия;Серия приёмов;92;18;2;15;6;prem;Умысел;Premeditation;🧠;buff;Бафф (усиление);0;0;0;0;2;;0;3;14183;+2 к серии (без удара).;"Тип: Бафф (усиление) | Бафф: величина эффекта часто = power (0) — см. описание; длительность в бою по правилам type=buff | Ресурс: +2 Серия приёмов | Перезарядка: 3 ход(а/ов)";;;;;;;;;;Пока без изм
107;rogue;Разбойник;subtlety;Скрытность;Боец (DPS);Энергия;Серия приёмов;92;18;2;15;7;rupture;Рваная рана;Rupture;🩸;dot;Урон со временем (DoT);0.75;25;0;1;0;;0;0;1943;Завершающее кровотечение.;Тип: Урон со временем (DoT) | DoT: суммарный/тиковый урон завязан на power=0.75 (тик от ATK) | Ресурс: −25 Энергия, −1 Серия приёмов | Перезарядка: нет (0);;;;;;;;;;Пока без изм
108;rogue;Разбойник;subtlety;Скрытность;Боец (DPS);Энергия;Серия приёмов;92;18;2;15;8;fan;Веер клинков;Fan of Knives;🌀;aoe;Урон по области (все враги);0.65;35;0;0;1;;0;0;51723;По области + 1 к серии.;Тип: Урон по области (все враги) | Урон по каждому врагу ≈ ATK × 0.65 | Ресурс: −35 Энергия, +1 Серия приёмов | Перезарядка: нет (0);;;;;;;;;;Пока без изм
109;rogue;Разбойник;subtlety;Скрытность;Боец (DPS);Энергия;Серия приёмов;92;18;2;15;9;slice;Мясорубка (серия);Slice and Dice;⏱️;buff;Бафф (усиление);0.22;25;0;1;0;;0;0;5171;Завершающий: +атака.;"Тип: Бафф (усиление) | Бафф: величина эффекта часто = power (0.22) — см. описание; длительность в бою по правилам type=buff | Ресурс: −25 Энергия, −1 Серия приёмов | Перезарядка: нет (0)";;;;;;;;;;Пока без изм
110;priest;Жрец;discipline;Послушание;Целитель;Мана;;92;9;4;10;1;penance;Исповедь;Penance;📿;heal;Исцеление (цель/союзник);0.48;12;0;0;0;;0;1;47540;Сильное лечение (основная кнопка).;Тип: Исцеление (цель/союзник) | Исцеление завязано на power=0.48 (от ATK/хил-мультипликаторов) | Ресурс: −12 Мана | Перезарядка: 1 ход(а/ов);;;;;;;;;;Пока без изм
111;priest;Жрец;discipline;Послушание;Целитель;Мана;;92;9;4;10;2;flash;Быстрое исцеление;Flash Heal;💚;heal;Исцеление (цель/союзник);0.42;14;0;0;0;;0;0;2061;Дорогое быстрое лечение.;Тип: Исцеление (цель/союзник) | Исцеление завязано на power=0.42 (от ATK/хил-мультипликаторов) | Ресурс: −14 Мана | Перезарядка: нет (0);;;;;;;;;;Пока без изм
112;priest;Жрец;discipline;Послушание;Целитель;Мана;;92;9;4;10;3;greater;Великое исцеление;Greater Heal;💚;heal;Исцеление (цель/союзник);0.55;16;0;0;0;;0;0;2060;Сильное лечение.;Тип: Исцеление (цель/союзник) | Исцеление завязано на power=0.55 (от ATK/хил-мультипликаторов) | Ресурс: −16 Мана | Перезарядка: нет (0);;;;;;;;;;Пока без изм
113;priest;Жрец;discipline;Послушание;Целитель;Мана;;92;9;4;10;4;shield;Слово силы: Щит;Power Word: Shield;🛡️;shield;Щит / поглощение;0.42;12;0;0;0;;0;1;17;Поглощение урона.;Тип: Щит / поглощение | Щит: сила поглощения связана с power=0.42 и HP/ATK героя | Ресурс: −12 Мана | Перезарядка: 1 ход(а/ов);;;;;;;;;;Пока без изм
114;priest;Жрец;discipline;Послушание;Целитель;Мана;;92;9;4;10;5;prayer;Молитва исцеления;Prayer of Healing;🙏;heal_aoe;heal_aoe;0.26;18;0;0;0;;0;1;596;Лечение отряда.;Тип: heal_aoe | Сила (power)=0.26 — интерпретация по type в движке боя | Ресурс: −18 Мана | Перезарядка: 1 ход(а/ов);;;;;;;;;;Пока без изм
115;priest;Жрец;discipline;Послушание;Целитель;Мана;;92;9;4;10;6;smite;Кара;Smite;✨;damage;Урон (одна цель);0.95;6;0;0;0;;0;0;585;Урон (мана-дешёвый).;Тип: Урон (одна цель) | Урон ≈ ATK × 0.95 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −6 Мана | Перезарядка: нет (0);;;;;;;;;;Пока без изм
116;priest;Жрец;discipline;Послушание;Целитель;Мана;;92;9;4;10;7;holy_fire;Священный огонь;Holy Fire;🔥;damage;Урон (одна цель);42005;8;0;0;0;;0;1;14914;Урон.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.15 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −8 Мана | Перезарядка: 1 ход(а/ов);;;;;;;;;;Пока без изм
117;priest;Жрец;discipline;Послушание;Целитель;Мана;;92;9;4;10;8;pain_supp;Подавление боли;Pain Suppression;🩹;shield;Щит / поглощение;0.48;0;0;0;0;;0;5;33206;Сильный щит (перезарядка).;Тип: Щит / поглощение | Щит: сила поглощения связана с power=0.48 и HP/ATK героя | Перезарядка: 5 ход(а/ов);;;;;;;;;;Пока без изм
118;priest;Жрец;discipline;Послушание;Целитель;Мана;;92;9;4;10;9;archangel;Архангел;Archangel;😇;buff;Бафф (усиление);0.22;0;0;0;0;;0;4;81700;+атака (упрощ. без евангелия).;"Тип: Бафф (усиление) | Бафф: величина эффекта часто = power (0.22) — см. описание; длительность в бою по правилам type=buff | Перезарядка: 4 ход(а/ов)";;;;;;;;;;Пока без изм
119;priest;Жрец;holy;Свет;Целитель;Мана;;92;8;4;10;1;heal;Исцеление;Heal;💚;heal;Исцеление (цель/союзник);0.45;10;0;0;0;;0;0;2050;Экономичное лечение.;Тип: Исцеление (цель/союзник) | Исцеление завязано на power=0.45 (от ATK/хил-мультипликаторов) | Ресурс: −10 Мана | Перезарядка: нет (0);;;;;;;;;;Пока без изм
120;priest;Жрец;holy;Свет;Целитель;Мана;;92;8;4;10;2;flash;Быстрое исцеление;Flash Heal;💚;heal;Исцеление (цель/союзник);0.44;14;0;0;0;;0;0;2061;Дороже, чуть сильнее.;Тип: Исцеление (цель/союзник) | Исцеление завязано на power=0.44 (от ATK/хил-мультипликаторов) | Ресурс: −14 Мана | Перезарядка: нет (0);;;;;;;;;;Пока без изм
121;priest;Жрец;holy;Свет;Целитель;Мана;;92;8;4;10;3;gh;Великое исцеление;Greater Heal;💚;heal;Исцеление (цель/союзник);0.55;16;0;0;0;;0;0;2060;Сильное лечение.;Тип: Исцеление (цель/союзник) | Исцеление завязано на power=0.55 (от ATK/хил-мультипликаторов) | Ресурс: −16 Мана | Перезарядка: нет (0);;;;;;;;;;Пока без изм
122;priest;Жрец;holy;Свет;Целитель;Мана;;92;8;4;10;4;renew;Обновление;Renew;🌿;heal;Исцеление (цель/союзник);0.32;9;0;0;0;;0;0;139;HoT: сразу + тики.;Тип: Исцеление (цель/союзник) | Исцеление завязано на power=0.32 (от ATK/хил-мультипликаторов) | Ресурс: −9 Мана | Перезарядка: нет (0);;;;;;;;;;Пока без изм
123;priest;Жрец;holy;Свет;Целитель;Мана;;92;8;4;10;5;poh;Молитва исцеления;Prayer of Healing;🙏;heal_aoe;heal_aoe;0.26;18;0;0;0;;0;0;596;По области.;Тип: heal_aoe | Сила (power)=0.26 — интерпретация по type в движке боя | Ресурс: −18 Мана | Перезарядка: нет (0);;;;;;;;;;Пока без изм
124;priest;Жрец;holy;Свет;Целитель;Мана;;92;8;4;10;6;circle;Круг исцеления;Circle of Healing;⭕;heal_aoe;heal_aoe;0.28;12;0;0;0;;0;2;34861;Эффективный хил по области.;Тип: heal_aoe | Сила (power)=0.28 — интерпретация по type в движке боя | Ресурс: −12 Мана | Перезарядка: 2 ход(а/ов);;;;;;;;;;Пока без изм
125;priest;Жрец;holy;Свет;Целитель;Мана;;92;8;4;10;7;holy_word;Слово Света: Безмятежность;Holy Word: Serenity;🕊️;heal;Исцеление (цель/союзник);0.58;10;0;0;0;;0;2;88684;Сильное лечение (КД).;Тип: Исцеление (цель/союзник) | Исцеление завязано на power=0.58 (от ATK/хил-мультипликаторов) | Ресурс: −10 Мана | Перезарядка: 2 ход(а/ов);;;;;;;;;;Пока без изм
126;priest;Жрец;holy;Свет;Целитель;Мана;;92;8;4;10;8;smite;Кара;Smite;✨;damage;Урон (одна цель);0.9;6;0;0;0;;0;0;585;Урон.;Тип: Урон (одна цель) | Урон ≈ ATK × 0.9 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −6 Мана | Перезарядка: нет (0);;;;;;;;;;Пока без изм
127;priest;Жрец;holy;Свет;Целитель;Мана;;92;8;4;10;9;guardian;Дух-хранитель;Guardian Spirit;👻;buff;Бафф (усиление);0.28;0;0;0;0;;0;5;47788;+атака цели/себе (упрощ.).;"Тип: Бафф (усиление) | Бафф: величина эффекта часто = power (0.28) — см. описание; длительность в бою по правилам type=buff | Перезарядка: 5 ход(а/ов)";;;;;;;;;;Пока без изм
128;priest;Жрец;shadow;Тьма;Боец (DPS);Мана;;88;17;2;11;1;mind_blast;Взрыв разума;Mind Blast;🧠;damage;Урон (одна цель);52963;8;0;0;0;;0;1;8092;Основной удар.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.45 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −8 Мана | Перезарядка: 1 ход(а/ов);;;;;;;;;;Пока без изм
129;priest;Жрец;shadow;Тьма;Боец (DPS);Мана;;88;17;2;11;2;swp;Слово Тьмы: Боль;Shadow Word: Pain;😣;dot;Урон со временем (DoT);0.6;6;0;0;0;;0;1;589;Дешёвый DoT.;Тип: Урон со временем (DoT) | DoT: суммарный/тиковый урон завязан на power=0.6 (тик от ATK) | Ресурс: −6 Мана | Перезарядка: 1 ход(а/ов);;;;;;;;;;Пока без изм
130;priest;Жрец;shadow;Тьма;Боец (DPS);Мана;;88;17;2;11;3;vt;Прикосновение вампира;Vampiric Touch;🦇;dot;Урон со временем (DoT);0.7;8;0;0;0;;0;1;34914;Сильный DoT (без возврата маны).;Тип: Урон со временем (DoT) | DoT: суммарный/тиковый урон завязан на power=0.7 (тик от ATK) | Ресурс: −8 Мана | Перезарядка: 1 ход(а/ов);;;;;;;;;;Пока без изм
131;priest;Жрец;shadow;Тьма;Боец (DPS);Мана;;88;17;2;11;4;mind_flay;Пытка разума;Mind Flay;🌀;damage;Урон (одна цель);46143;5;0;0;0;;0;0;15407;Дешёвый заполнитель.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.05 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −5 Мана | Перезарядка: нет (0);;;;;;;;;;Пока без изм
132;priest;Жрец;shadow;Тьма;Боец (DPS);Мана;;88;17;2;11;5;devouring;Всепожирающая чума;Devouring Plague;🦠;dot;Урон со временем (DoT);0.85;10;0;0;0;;0;2;2944;Сильный DoT.;Тип: Урон со временем (DoT) | DoT: суммарный/тиковый урон завязан на power=0.85 (тик от ATK) | Ресурс: −10 Мана | Перезарядка: 2 ход(а/ов);;;;;;;;;;Пока без изм
133;priest;Жрец;shadow;Тьма;Боец (DPS);Мана;;88;17;2;11;6;swd;Слово Тьмы: Смерть;Shadow Word: Death;💀;damage;Урон (одна цель);23743;8;0;0;0;;0;2;32379;Добивание ≤35% HP.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.65 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −8 Мана | Перезарядка: 2 ход(а/ов);;;;;;;;;;Пока без изм
134;priest;Жрец;shadow;Тьма;Боец (DPS);Мана;;88;17;2;11;7;mind_spike;Шип разума;Mind Spike;📌;damage;Урон (одна цель);45658;8;0;0;0;;0;0;73510;Мгновенный урон.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.25 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −8 Мана | Перезарядка: нет (0);;;;;;;;;;Пока без изм
135;priest;Жрец;shadow;Тьма;Боец (DPS);Мана;;88;17;2;11;8;shadowfiend;Исчадие Тьмы;Shadowfiend;👾;damage;Урон (одна цель);46054;0;0;0;0;;0;4;34433;Урон + исчадие на 4 раунда.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.2 (модификаторы крита/мастерства/vers/баффы) | Перезарядка: 4 ход(а/ов);;;;;;;;;;Пока без изм
136;priest;Жрец;shadow;Тьма;Боец (DPS);Мана;;88;17;2;11;9;dispersion;Слияние с Тьмой;Dispersion;🌫️;shield;Щит / поглощение;0.42;0;0;0;0;;0;5;47585;Щит (перезарядка).;Тип: Щит / поглощение | Щит: сила поглощения связана с power=0.42 и HP/ATK героя | Перезарядка: 5 ход(а/ов);;;;;;;;;;Пока без изм
137;deathknight;Рыцарь смерти;blood;Кровь;Танк;Руны;Сила рун;175;13;11;8;1;death_strike;Удар смерти;Death Strike;💚;damage;Урон (одна цель);45658;0;0;0;0;любые×2;20;0;49998;2 руны, +20 силы рун, вампиризм.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.25 (модификаторы крита/мастерства/vers/баффы) | Ресурс: руны: любые×2, +20 рун. сила | Перезарядка: нет (0);;;;;;;;;;Пока без изм
138;deathknight;Рыцарь смерти;blood;Кровь;Танк;Руны;Сила рун;175;13;11;8;2;heart_strike;Удар в сердце;Heart Strike;❤️;damage;Урон (одна цель);46023;0;0;0;0;кровь×1;10;0;55050;Руна крови, +10 силы рун.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.1 (модификаторы крита/мастерства/vers/баффы) | Ресурс: руны: кровь×1, +10 рун. сила | Перезарядка: нет (0);;;;;;;;;;Пока без изм
139;deathknight;Рыцарь смерти;blood;Кровь;Танк;Руны;Сила рун;175;13;11;8;3;blood_boil;Вскипание крови;Blood Boil;🫧;aoe;Урон по области (все враги);0.75;0;0;0;0;кровь×1;10;0;48721;По области, +10 силы рун.;Тип: Урон по области (все враги) | Урон по каждому врагу ≈ ATK × 0.75 | Ресурс: руны: кровь×1, +10 рун. сила | Перезарядка: нет (0);;;;;;;;;;Пока без изм
140;deathknight;Рыцарь смерти;blood;Кровь;Танк;Руны;Сила рун;175;13;11;8;4;death_coil;Лик смерти;Death Coil;🌀;damage;Урон (одна цель);46113;0;0;40;0;;0;0;47541;Расход 40 силы рун — сильный удар.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.4 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −40 Сила рун | Перезарядка: нет (0);;;;;;;;;;Пока без изм
141;deathknight;Рыцарь смерти;blood;Кровь;Танк;Руны;Сила рун;175;13;11;8;5;rune_tap;Захват рун;Rune Tap;🔋;heal;Исцеление (цель/союзник);0.28;0;0;0;0;кровь×1;0;2;48982;Руна крови — самолечение.;Тип: Исцеление (цель/союзник) | Исцеление завязано на power=0.28 (от ATK/хил-мультипликаторов) | Ресурс: руны: кровь×1 | Перезарядка: 2 ход(а/ов);;;;;;;;;;Пока без изм
142;deathknight;Рыцарь смерти;blood;Кровь;Танк;Руны;Сила рун;175;13;11;8;6;vampiric_blood;Кровь вампира;Vampiric Blood;🧛;buff;Бафф (усиление);0.25;0;0;0;0;;0;4;55233;+макс. HP на 3 хода.;"Тип: Бафф (усиление) | Бафф: величина эффекта часто = power (0.25) — см. описание; длительность в бою по правилам type=buff | Перезарядка: 4 ход(а/ов)";;;;;;;;;;Пока без изм
143;deathknight;Рыцарь смерти;blood;Кровь;Танк;Руны;Сила рун;175;13;11;8;7;bone_shield;Костяной щит;Bone Shield;🦴;shield;Щит / поглощение;0.38;0;0;0;0;нечестивость×1;10;3;49222;Руна нечестивости — щит, +10 силы рун.;Тип: Щит / поглощение | Щит: сила поглощения связана с power=0.38 и HP/ATK героя | Ресурс: руны: нечестивость×1, +10 рун. сила | Перезарядка: 3 ход(а/ов);;;;;;;;;;Пока без изм
144;deathknight;Рыцарь смерти;blood;Кровь;Танк;Руны;Сила рун;175;13;11;8;8;ds;Смерть и разложение;Death and Decay;☠️;aoe;Урон по области (все враги);0.8;0;0;0;0;нечестивость×1;10;2;43265;Зона +10 силы рун.;Тип: Урон по области (все враги) | Урон по каждому врагу ≈ ATK × 0.8 | Ресурс: руны: нечестивость×1, +10 рун. сила | Перезарядка: 2 ход(а/ов);;;;;;;;;;Пока без изм
